epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,8433.91,2.01043,1.93539,2.45191,0.49045,0.22917,0.20134,0.09606,4.5627,6.03329,4.88777,0.001109,0.001109,0.001109
137,8495.8,1.82287,1.94568,2.35021,0.45404,0.22917,0.2091,0.10062,4.58791,5.9847,4.96965,0.0011024,0.0011024,0.0011024
138,8557.4,1.99592,2.04014,2.44948,0.4008,0.27604,0.21736,0.10264,4.66897,5.8518,4.94558,0.0010958,0.0010958,0.0010958
139,8618.97,1.87904,1.89861,2.40161,0.47281,0.26562,0.24052,0.10947,4.57894,5.80413,4.91228,0.0010892,0.0010892,0.0010892
140,8680.88,1.908,1.85524,2.34369,0.52623,0.26042,0.26662,0.11155,4.5506,5.66024,4.90795,0.0010826,0.0010826,0.0010826
141,8742.43,1.94329,1.84722,2.40838,0.39234,0.3125,0.25952,0.10034,4.56129,5.65545,4.92577,0.001076,0.001076,0.001076
142,8804.07,1.93231,1.9046,2.40886,0.43661,0.26562,0.25005,0.09417,4.51138,5.84455,4.89013,0.0010694,0.0010694,0.0010694
143,8865.16,1.82219,1.862,2.34756,0.42516,0.2504,0.22489,0.0918,4.42218,6.29789,4.8177,0.0010628,0.0010628,0.0010628
144,8926.4,1.85955,1.86378,2.38127,0.45691,0.23958,0.21964,0.09941,4.33288,6.49581,4.74622,0.0010562,0.0010562,0.0010562
145,8987.74,1.90764,1.80926,2.34707,0.46293,0.23438,0.21384,0.10497,4.3333,6.42877,4.75877,0.0010496,0.0010496,0.0010496
146,9049.5,1.92007,1.86422,2.38922,0.51008,0.23318,0.2417,0.11304,4.53268,6.13595,4.82512,0.001043,0.001043,0.001043
147,9110.93,1.8564,1.78256,2.33995,0.36212,0.26562,0.23033,0.10592,4.4055,6.06383,4.60648,0.0010364,0.0010364,0.0010364
148,9172.66,1.93139,1.75635,2.38874,0.39086,0.27604,0.23042,0.10583,4.3951,5.91307,4.62504,0.0010298,0.0010298,0.0010298
149,9234.5,1.84177,1.78248,2.37109,0.40384,0.27083,0.22812,0.10169,4.34367,5.92072,4.57329,0.0010232,0.0010232,0.0010232
